前一筆狀態,下一筆狀態,判斷,說明
1,1,異常,已經收到進車事件(1)，下一筆又再次收到進車事件(1)，不符合正常停車流程
1,2,看時間,車輛進入後直接離開；若時間很短，可能尚未遇到每小時有車排程(5)，可視為正常短停；若時間過長則代表期間缺少5
1,5,正常,車輛進入後，每小時排程確認車格為有車
1,6,異常,車輛剛進入，但下一筆排程卻顯示車格無車，狀態不一致
2,1,看時間,前一台車離開後很快又有下一台車進入；若時間很短，可能尚未遇到每小時無車排程(6)，可視為正常快速換車；若時間過長則代表期間缺少6
2,2,異常,已經收到車輛離開事件(2)，下一筆又再次收到離開事件(2)，不符合正常流程
2,5,異常,車輛已離開，但下一筆排程仍顯示車格有車，狀態不一致
2,6,正常,車輛離開後，每小時排程確認車格為無車
5,1,異常,目前排程顯示車格已有車，但下一筆又收到進車事件(1)，不符合正常流程
5,2,正常,車格原本有車，之後收到車輛離開事件
5,5,正常,車輛持續停放，每小時排程持續回傳有車
5,6,異常,未收到車輛離開事件(2)，狀態卻直接由有車(5)變成無車(6)
6,1,正常,車格原本無車，之後有新的車輛進入
6,2,異常,目前排程顯示車格無車，但卻收到車輛離開事件(2)，不符合正常流程
6,5,異常,未收到車輛進入事件(1)，狀態卻直接由無車(6)變成有車(5)
6,6,正常,車格持續無車，每小時排程持續回傳無車
